Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-04-18,272.9446105957031,274.8322237129934,270.823488125662,271.3781025319031,20778000,11.337181128484964
2022-04-19,277.5954895019531,278.44202017947026,270.89156871926275,271.8353751517887,22297700,11.801709787275596
2022-04-20,278.62689208984375,281.8767221982416,277.66363634073986,281.58480582125515,22906700,12.09788525019462
2022-04-21,273.22674560546875,285.3794446334665,272.4969992966275,280.7869066754208,29454600,12.710454343909557
2022-04-22,266.6299133300781,275.5522937131166,265.997472294218,274.07332178419426,29405800,13.624156861022628
2022-04-25,273.1391906738281,273.5186433291978,263.45787737372405,265.909844074546,35678900,13.92062418401734
2022-04-26,262.9226989746094,270.84286249924804,262.70863889591914,270.0061010874725,46518400,14.450001212189052
2022-04-27,275.57171630859375,283.11242950747317,271.6213579631091,274.4819663779026,63477700,13.656925207698833
2022-04-28,281.80859375,283.1221431584585,273.85921020488007,277.48849285173316,33646600,12.667260544459744
2022-04-29,270.0256042480469,282.051839783159,269.03315988134744,280.81611693468443,37073900,12.256721477984959
2022-05-02,276.7879333496094,277.2452422608899,268.7607233087072,270.21047658994615,35151100,11.333617026169652
2022-05-03,274.1706237792969,276.45716875082513,272.58463663535474,276.29174647907155,25978600,9.483958354982951
2022-05-04,282.1491394042969,283.0248290854527,269.256953889885,274.9586911173627,33599300,7.655166847644364
2022-05-05,269.8602600097656,278.617217956907,266.9315345722031,277.82909411714115,43260400,7.036097479511574
2022-05-06,267.3109436035156,271.70887058639,263.94435931562117,267.3887701432197,37780300,6.027075180356176
2022-05-09,257.4350280761719,265.00492869537015,256.2090744532294,262.7670518637602,47726000,6.246474849368804
2022-05-10,262.2222595214844,266.3574899592072,257.91189703871265,264.35312181663505,39336400,6.615896186208367
2022-05-11,253.513916015625,264.03199293595867,252.29767187873665,258.5053867043685,48975900,7.828176744916175
2022-05-12,248.45431518554688,252.86198198640574,243.268249302566,250.7311202522036,51033800,9.091058652101468
2022-05-13,254.06846618652344,255.93662977324178,248.45429536073587,250.4002854874016,34925100,9.723306747885122
2022-05-16,254.438232421875,258.64157860781677,248.87269896089347,252.93981157260347,32550900,10.189855788106575
